id,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
3504621,2,1.0,1.0,1.0,135.0,150.0,95.0,6,1125,6
2237591,2,1.0,1.0,1.0,90.0,0.0,0.0,2,1125,6
4468217,2,1.0,1.0,1.0,102.0,100.0,49.0,5,31,6
8089814,3,1.0,1.0,1.0,99.0,100.0,50.0,1,19,0
5759630,2,1.0,1.0,1.0,195.0,0.0,0.0,1,1125,1
321642,4,1.0,1.0,2.0,160.0,200.0,50.0,1,1125,59
7219322,2,1.0,1.0,1.0,95.0,0.0,100.0,1,1125,1
7973221,2,1.0,1.0,1.0,120.0,0.0,0.0,1,1125,0
8191407,6,2.0,2.0,3.0,249.0,0.0,59.0,2,180,0
7860122,2,1.0,1.0,1.0,88.0,200.0,35.0,3,1125,1
7973954,2,1.0,1.0,1.0,90.0,95.0,10.0,1,1125,2
8503615,2,0.0,1.0,1.0,150.0,0.0,0.0,1,1125,0
8606829,2,1.0,1.0,1.0,125.0,0.0,0.0,1,1125,0
374043,2,1.0,1.0,1.0,85.0,0.0,20.0,3,14,145
4251323,3,1.0,1.0,2.0,400.0,0.0,0.0,1,1125,0
4430318,2,1.0,1.0,1.0,120.0,0.0,0.0,2,1125,8
454026,10,4.0,2.0,4.0,215.0,500.0,125.0,2,1825,29
6448095,2,1.0,0.5,1.0,90.0,0.0,0.0,2,4,0
4597473,2,1.0,1.0,1.0,50.0,95.0,0.0,2,240,23
5023531,5,1.0,1.0,2.0,100.0,0.0,25.0,1,1125,12
7769625,4,2.0,2.0,2.0,65.0,0.0,0.0,1,1125,0
7826994,2,1.0,1.0,1.0,55.0,0.0,0.0,2,30,4
792578,8,3.0,2.5,1.0,129.0,200.0,0.0,1,5,58
7384867,1,1.0,1.0,1.0,45.0,0.0,0.0,1,1125,4
212586,5,2.0,2.0,2.0,299.0,0.0,0.0,3,365,34
786804,5,2.0,2.0,2.0,309.0,0.0,0.0,4,365,8
8595649,7,2.0,1.0,4.0,375.0,0.0,0.0,1,1125,0
4729118,4,2.0,2.0,3.0,180.0,250.0,50.0,7,21,48
2790026,4,1.0,1.0,1.0,149.0,95.0,100.0,3,1125,32
5844616,5,2.0,2.0,3.0,337.0,0.0,100.0,3,1125,6
96259,4,2.0,2.0,2.0,299.0,0.0,0.0,3,730,7
23378,3,1.0,1.0,1.0,249.0,0.0,0.0,4,365,6
5405828,3,0.0,1.5,1.0,126.0,500.0,100.0,2,1125,5
8167267,2,1.0,1.0,1.0,99.0,100.0,0.0,1,1125,1
4808149,4,2.0,2.0,2.0,299.0,0.0,0.0,3,365,2
924888,2,1.0,1.0,1.0,199.0,0.0,200.0,7,1125,1
4659838,3,1.0,1.0,3.0,89.0,95.0,30.0,1,1125,1
8664363,2,0.0,1.0,1.0,165.0,400.0,75.0,1,1125,0
786693,4,2.0,2.0,2.0,309.0,0.0,0.0,4,365,1
8133514,2,0.0,1.0,1.0,115.0,0.0,0.0,1,1125,0
1304225,4,1.0,1.0,2.0,130.0,0.0,25.0,1,1125,85
7637938,2,1.0,2.0,1.0,95.0,0.0,10.0,1,1125,0
6744470,1,1.0,1.0,1.0,50.0,95.0,15.0,2,1125,6
5869529,3,1.0,1.0,1.0,569.0,0.0,100.0,3,1125,0
3672217,1,1.0,1.0,1.0,55.0,0.0,0.0,20,21,0
7596192,2,1.0,1.5,1.0,49.0,95.0,12.0,1,1125,3
6900870,4,2.0,1.0,2.0,250.0,500.0,115.0,3,1125,4
36943,2,1.0,0.0,1.0,198.0,0.0,150.0,7,365,0
1839589,5,2.0,2.0,3.0,311.0,0.0,100.0,3,1125,3
2115864,2,0.0,1.0,1.0,95.0,0.0,25.0,2,29,35
7825726,1,1.0,1.0,2.0,59.0,200.0,30.0,1,1125,1
3172888,2,1.0,1.0,1.0,167.0,575.0,104.0,5,1125,31
6106389,3,1.0,1.0,1.0,165.0,135.0,0.0,1,1125,0
2477325,3,1.0,1.5,1.0,104.0,200.0,0.0,2,1125,11
805490,2,1.0,0.0,1.0,99.0,500.0,0.0,1,1125,169
4811421,4,1.0,1.0,3.0,159.0,0.0,120.0,1,1125,0
6430122,2,0.0,1.0,1.0,190.0,0.0,0.0,3,1125,13
4044606,3,1.0,1.0,2.0,246.0,0.0,100.0,3,1125,0
6376317,3,1.0,1.0,2.0,200.0,200.0,70.0,2,1125,14
