id,id,host_listings_count,host_response_rate,host_acceptance_rate,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,neighbourhood_cleansed,latitude,longitude
4430318,4430318,1,100%,100%,2,1.0,1.0,1.0,$120.00 ,,,2,1125,8,"Near Southeast, Navy Yard",38.87407493,-77.0023063
454026,454026,3,100%,95%,10,4.0,2.0,4.0,$215.00 ,$500.00 ,$125.00 ,2,1825,29,"River Terrace, Benning, Greenway, Dupont Park",38.891199799999995,-76.95067899
6448095,6448095,1,,,2,1.0,0.5,1.0,$90.00 ,,,2,4,0,"River Terrace, Benning, Greenway, Dupont Park",38.88746476,-76.95571354
4597473,4597473,1,100%,87%,2,1.0,1.0,1.0,$50.00 ,$95.00 ,,2,240,23,"River Terrace, Benning, Greenway, Dupont Park",38.89138686,-76.94886141
5023531,5023531,1,100%,100%,5,1.0,1.0,2.0,$100.00 ,,$25.00 ,1,1125,12,"River Terrace, Benning, Greenway, Dupont Park",38.89209068,-76.95031429
7769625,7769625,1,33%,,4,2.0,2.0,2.0,$65.00 ,,,1,1125,0,"River Terrace, Benning, Greenway, Dupont Park",38.87302035,-76.93891775
7826994,7826994,2,92%,95%,2,1.0,1.0,1.0,$55.00 ,,,2,30,4,"River Terrace, Benning, Greenway, Dupont Park",38.89362812,-76.95924839
792578,792578,1,100%,73%,8,3.0,2.5,1.0,$129.00 ,$200.00 ,,1,5,58,"River Terrace, Benning, Greenway, Dupont Park",38.88336419,-76.95062953
7384867,7384867,2,92%,95%,1,1.0,1.0,1.0,$45.00 ,,,1,1125,4,"River Terrace, Benning, Greenway, Dupont Park",38.89197311,-76.96042875
212586,212586,480,58%,51%,5,2.0,2.0,2.0,$299.00 ,,,3,365,34,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90105595,-77.03415786
786804,786804,480,58%,51%,5,2.0,2.0,2.0,$309.00 ,,,4,365,8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90095092,-77.03297298
